,Price
1427,136.85468563260142
14009,285.0495840579029
14825,124.29643527204502
46552,197.04088072365192
17271,204.9718574108818
38865,126.71545133612324
20003,339.1181988742964
19633,436.21013133208254
16840,174.01500938086303
11574,158.85698171734737
37322,316.3210436490309
36640,178.61735206789328
30308,195.2651691676764
20457,133.58733742562148
21531,187.2104235753428
6136,439.6397235087392
46932,229.5304209615969
5288,248.56285055973183
30942,240.93578152670327
30272,475.34718985926
28776,180.86032126813896
12618,492.31564600272594
30638,333.6750862149315
7653,138.9438406218726
39185,172.7725434269282
46688,336.34854965757427
7900,168.96688156026715
39768,100.29691627896102
21713,364.0725322796868
13623,233.1155708041548
40885,262.7825964977906
26158,462.38152355417577
47691,382.3948764696258
21632,578.8000658529128
2935,177.39554284910835
43115,196.3855703364272
2232,133.33958240573665
47349,208.49402800177643
41854,133.72922170528136
13588,124.07764252479204
38126,276.57634489046825
12151,131.83249518259154
45400,151.9295047098147
12573,125.2526202002162
4216,148.33735617369297
44492,191.7097234236551
8508,204.26287744227352
25222,322.44408382135043
7279,295.1102008518165
26295,283.4027140807639
23270,161.10444742350478
38857,265.1205199541767
33256,506.1049492030944
41569,126.71545133612324
16581,182.2232645403377
13206,250.0352493302628
23376,189.32712434441072
1332,208.5627914606426
22362,217.0794233166349
23356,334.90909946141727
18194,179.4090056285178
278,142.47885079558503
6646,179.4400353759862
21726,135.70403819468945
6352,284.63704703609744
21594,122.5334556316
48223,160.1103241941893
36804,305.5665957496551
6275,108.920799683478
30419,625.873799981359
374,172.708738546622
39761,438.1268557267435
2087,121.8569118646451
22156,411.815894070886
9440,800.2243619706459
14710,234.52157598499065
35037,324.5875664087986
20794,310.6846351043063
16275,100.84427767354596
11823,234.2905484795789
14815,270.63789868667914
4900,125.13767487638556
6514,129.40163381199525
46031,133.23048874552978
1146,202.93862629765897
40539,133.72922170528136
24461,275.4062889531739
26030,121.82788870857736
41539,99.127954550768
32295,642.1847329667257
23242,235.89454126390555
17649,381.5666041275797
44950,202.23037897739223
16773,211.30393996247653
26373,96.66266845410289
43847,230.0516681083861
43973,196.3855703364272
16666,87.00750469043152
10368,187.90315041600448
34226,118.37077080809024
10700,228.65065563754288
29138,219.66650203438465
38397,132.56025997708835
37241,207.60760292708017
7281,277.6549444922848
36803,251.32677156149904
5137,162.39776908115203
396,86.94021981112179
35783,266.5672476465654
37246,112.92170294344562
14492,99.63810687596936
17016,297.8424015009381
40877,149.860893554345
24471,206.73110844563607
48502,220.1809129794545
11401,153.21708887531136
4148,162.39776908115203
30991,387.03513840991707
46024,531.0520533856906
46037,212.23383119463332
36968,220.23238959156475
13943,239.2254547163604
31329,178.48820952558486
41990,184.4621607088584
20430,130.76506973353088
35802,719.3121446546743
46364,236.5425519482037
43011,97.02382344002056
41912,136.06714516166738
398,254.96215405525743
7567,161.98477901645447
16476,240.38461538461536
43377,248.5212634138358
21828,273.75996613278767
40159,115.25962639983166
12010,229.82563331296703
12457,215.9608967429619
45601,170.62852067409955
4214,136.6203454174771
5183,111.3116021840508
47679,173.9008484678494
43598,242.6764547728708
21620,129.11874691314472
18894,265.9474671669793
39386,203.6331330512239
26403,141.8189515275524
36663,115.49341874547028
6987,213.88507459212883
30667,372.1222853947246
5500,150.58067819489375
4815,510.1586483256392
29718,157.81180178273243
41911,124.6113202253758
4571,86.94021981112179
43707,169.96703527926493
35072,243.2659148103272
4183,80.84737421788954
41700,149.860893554345
31597,219.96458197408893
566,143.65055187120663
34972,148.42949016683755
47675,113.8302596825842
33478,294.2958337216889
35534,212.27514213813032
27351,187.4456125496837
10575,426.9868872491423
6247,111.01543044662182
12044,160.03195939277154
37391,126.71545133612324
39743,218.82963551773312
10999,126.42759787564036
24096,658.2939391801312
7605,138.9438406218726
6024,156.1663602299439
27152,348.07968202450667
19893,303.00187617260787
31020,424.31727094789824
23215,118.53524306780498
43280,262.31501180651344
1638,83.42511658425703
31594,154.2548233758971
36410,239.63715427956888
23182,264.1172181848115
25834,265.5283520308568
8993,122.9316630831074
34092,229.5181284369466
42486,141.21057676571667
3388,115.99840648653716
11904,63.44879447290501
46609,314.143468199986
43471,219.7648049002876
9548,181.826680377676
17080,231.7073170731707
11827,54.28396860459652
8686,324.6237262783958
38203,215.3227503331541
15854,102.01688555347091
18685,181.51969981238275
48113,176.238225463385
40271,345.778879199495
27669,452.7387756061996
19474,304.1744840525328
8768,162.42871833224268
46289,353.64513942453783
22321,129.3539358874856
27947,322.2088948470096
31776,248.8582346910244
4048,63.74053851381437
21428,170.5120063971401
33009,374.4524186783484
16470,349.437148217636
22317,396.76379971306943
25830,291.3991392083539
43655,210.4131110747434
31942,359.0735390064312
5815,341.4248143924407
37413,322.63343698127323
7236,378.4299578746479
14854,234.52157598499065
43015,298.3190330348584
45174,288.66605894864784
26428,172.86389614054892
9103,339.814901374217
22365,284.5786589524683
45134,322.3996446356346
2679,213.48393597825324
28518,750.2528281474165
25326,193.5605258825466
7375,171.2942490748714
12640,145.22724068242704
2505,115.99840648653716
23268,408.5232484301136
20777,96.42747947976198
40449,138.17127627241484
15071,260.0844277673545
42977,159.44637972552778
14363,107.86295060393851
34916,443.657377201976
38064,368.9243214177168
2714,90.45532303798656
20089,201.4540337711069
9697,139.29139010937644
46440,214.57120819016905
32394,287.3054338708174
9535,415.06964569505465
44541,265.8218969910925
22685,354.1945953573696
32288,683.8941187435921
26112,502.5988381664668
22871,177.80286460170748
12630,379.517789162006
12472,184.23649950650932
35526,438.5310839780036
6375,242.9771685246817
42336,146.58780071540457
23879,232.3667066487923
36892,161.5505108362752
23415,257.5319269032668
17698,295.0281425891182
27095,155.93028998800537
437,143.88489208633095
17222,118.19887429643526
7315,150.58067819489375
4928,104.2813957303213
20713,215.19791152190783
15719,109.05253283302063
5242,74.05150797928434
4471,126.30937595200712
32417,190.6049026004288
8047,185.79975694119844
